Subject_number,participant,OS,frameRate,trialNumber,Pair_type,Pass,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,similarity,response_time
1,31515,Win32,54.74352658,15,0,1,131,5,5,2151,2271,absent_patch/patch0002151.jpg,absent_patch/patch0002271.jpg,7,1.6141
1,31515,Win32,54.74352658,16,0,1,131,5,5,2031,2031,absent_patch/patch0002031.jpg,absent_patch/patch0002031.jpg,0,1.1144
1,31515,Win32,54.74352658,17,0,1,131,5,5,2283,2271,absent_patch/patch0002283.jpg,absent_patch/patch0002271.jpg,6,2.123
1,31515,Win32,54.74352658,18,0,1,131,5,5,2271,1995,absent_patch/patch0002271.jpg,absent_patch/patch0001995.jpg,3,1.3989
1,31515,Win32,54.74352658,19,0,1,131,5,5,2175,2079,absent_patch/patch0002175.jpg,absent_patch/patch0002079.jpg,3,1.8528
1,31515,Win32,54.74352658,20,0,1,131,5,5,2079,2223,absent_patch/patch0002079.jpg,absent_patch/patch0002223.jpg,4,4.1388
1,31515,Win32,54.74352658,21,0,1,131,5,5,2175,2271,absent_patch/patch0002175.jpg,absent_patch/patch0002271.jpg,6,1.2713
1,31515,Win32,54.74352658,22,0,1,131,5,5,2223,2223,absent_patch/patch0002223.jpg,absent_patch/patch0002223.jpg,0,0.7167
1,31515,Win32,54.74352658,23,1,1,131,5,5,2163,1,absent_patch/patch0002163.jpg,present_patch/cong_131_3_a.jpg,4,1.9443
1,31515,Win32,54.74352658,24,1,1,131,5,5,2367,1,absent_patch/patch0002367.jpg,present_patch/cong_131_3_a.jpg,5,1.1455
1,31515,Win32,54.74352658,25,0,1,131,5,5,2211,2211,absent_patch/patch0002211.jpg,absent_patch/patch0002211.jpg,0,0.7011
1,31515,Win32,54.74352658,26,0,1,131,5,5,2211,2031,absent_patch/patch0002211.jpg,absent_patch/patch0002031.jpg,6,1.8523
1,31515,Win32,54.74352658,27,1,1,131,5,5,2151,1,absent_patch/patch0002151.jpg,present_patch/cong_131_3_a.jpg,4,2.5586
1,31515,Win32,54.74352658,28,0,1,131,5,5,2367,2151,absent_patch/patch0002367.jpg,absent_patch/patch0002151.jpg,3,2.5895
1,31515,Win32,54.74352658,29,0,1,131,5,5,2031,1995,absent_patch/patch0002031.jpg,absent_patch/patch0001995.jpg,6,0.9484
1,31515,Win32,54.74352658,30,0,1,131,5,5,2079,2247,absent_patch/patch0002079.jpg,absent_patch/patch0002247.jpg,6,2.3499
1,31515,Win32,54.74352658,31,1,1,131,5,5,1,2079,present_patch/cong_131_3_a.jpg,absent_patch/patch0002079.jpg,3,6.5058
1,31515,Win32,54.74352658,32,0,1,131,5,5,2079,1995,absent_patch/patch0002079.jpg,absent_patch/patch0001995.jpg,2,1.9657
1,31515,Win32,54.74352658,33,0,1,131,5,5,1995,2247,absent_patch/patch0001995.jpg,absent_patch/patch0002247.jpg,5,5.273
1,31515,Win32,54.74352658,34,0,1,131,5,5,2367,2211,absent_patch/patch0002367.jpg,absent_patch/patch0002211.jpg,1,1.6845
1,31515,Win32,54.74352658,35,0,1,131,5,5,1947,2283,absent_patch/patch0001947.jpg,absent_patch/patch0002283.jpg,2,1.9513
1,31515,Win32,54.74352658,36,0,1,131,5,5,2151,2223,absent_patch/patch0002151.jpg,absent_patch/patch0002223.jpg,2,0.8683
1,31515,Win32,54.74352658,37,0,1,131,5,5,2079,2043,absent_patch/patch0002079.jpg,absent_patch/patch0002043.jpg,3,0.6184
1,31515,Win32,54.74352658,38,0,1,131,5,5,2163,2163,absent_patch/patch0002163.jpg,absent_patch/patch0002163.jpg,0,0.6025
1,31515,Win32,54.74352658,39,0,1,131,5,5,2211,1947,absent_patch/patch0002211.jpg,absent_patch/patch0001947.jpg,4,1.4827
1,31515,Win32,54.74352658,40,0,1,131,5,5,2271,2163,absent_patch/patch0002271.jpg,absent_patch/patch0002163.jpg,3,1.1171
1,31515,Win32,54.74352658,41,0,1,131,5,5,2163,2151,absent_patch/patch0002163.jpg,absent_patch/patch0002151.jpg,0,1.7859
1,31515,Win32,54.74352658,42,0,1,131,5,5,1995,2367,absent_patch/patch0001995.jpg,absent_patch/patch0002367.jpg,7,2.3576
1,31515,Win32,54.74352658,43,0,1,131,5,5,2247,2151,absent_patch/patch0002247.jpg,absent_patch/patch0002151.jpg,5,2.1772
1,31515,Win32,54.74352658,44,0,1,131,5,5,1995,1947,absent_patch/patch0001995.jpg,absent_patch/patch0001947.jpg,1,2.0001
1,31515,Win32,54.74352658,45,1,1,131,5,5,1,1995,present_patch/cong_131_3_a.jpg,absent_patch/patch0001995.jpg,2,2.3595
1,31515,Win32,54.74352658,46,0,1,131,5,5,2031,2163,absent_patch/patch0002031.jpg,absent_patch/patch0002163.jpg,6,1.47
1,31515,Win32,54.74352658,47,0,1,131,5,5,2223,2271,absent_patch/patch0002223.jpg,absent_patch/patch0002271.jpg,4,1.8182
1,31515,Win32,54.74352658,48,1,1,131,5,5,1,2175,present_patch/cong_131_3_a.jpg,absent_patch/patch0002175.jpg,3,1.1657
1,31515,Win32,54.74352658,49,0,1,131,5,5,2223,2163,absent_patch/patch0002223.jpg,absent_patch/patch0002163.jpg,6,0.8191
1,31515,Win32,54.74352658,50,0,1,131,5,5,2163,2247,absent_patch/patch0002163.jpg,absent_patch/patch0002247.jpg,7,1.2674
1,31515,Win32,54.74352658,51,0,1,131,5,5,1947,2163,absent_patch/patch0001947.jpg,absent_patch/patch0002163.jpg,5,1.1735
1,31515,Win32,54.74352658,52,0,1,131,5,5,2247,2223,absent_patch/patch0002247.jpg,absent_patch/patch0002223.jpg,7,1.1026
1,31515,Win32,54.74352658,53,0,1,131,5,5,2151,2079,absent_patch/patch0002151.jpg,absent_patch/patch0002079.jpg,3,1.2844
1,31515,Win32,54.74352658,54,0,1,131,5,5,2367,2367,absent_patch/patch0002367.jpg,absent_patch/patch0002367.jpg,0,0.6846
1,31515,Win32,54.74352658,55,0,1,131,5,5,2367,2283,absent_patch/patch0002367.jpg,absent_patch/patch0002283.jpg,3,1.7561
1,31515,Win32,54.74352658,56,0,1,131,5,5,1947,2079,absent_patch/patch0001947.jpg,absent_patch/patch0002079.jpg,3,2.1793
1,31515,Win32,54.74352658,57,0,1,131,5,5,2367,2079,absent_patch/patch0002367.jpg,absent_patch/patch0002079.jpg,5,0.7741
1,31515,Win32,54.74352658,58,0,1,131,5,5,2283,2283,absent_patch/patch0002283.jpg,absent_patch/patch0002283.jpg,0,0.5237
1,31515,Win32,54.74352658,59,0,1,131,5,5,2247,2175,absent_patch/patch0002247.jpg,absent_patch/patch0002175.jpg,1,1.9354
1,31515,Win32,54.74352658,60,0,1,131,5,5,2079,2079,absent_patch/patch0002079.jpg,absent_patch/patch0002079.jpg,0,0.5773
1,31515,Win32,54.74352658,61,0,1,131,5,5,2175,2175,absent_patch/patch0002175.jpg,absent_patch/patch0002175.jpg,1,1.0272
1,31515,Win32,54.74352658,62,0,1,131,5,5,2043,2211,absent_patch/patch0002043.jpg,absent_patch/patch0002211.jpg,3,2.8784
1,31515,Win32,54.74352658,63,0,1,131,5,5,2223,1995,absent_patch/patch0002223.jpg,absent_patch/patch0001995.jpg,4,0.9934
1,31515,Win32,54.74352658,64,0,1,131,5,5,1995,2151,absent_patch/patch0001995.jpg,absent_patch/patch0002151.jpg,6,0.8699
1,31515,Win32,54.74352658,65,0,1,131,5,5,2031,2367,absent_patch/patch0002031.jpg,absent_patch/patch0002367.jpg,7,0.6355
