Trial_number,Pair_type,Image_num,Patch_1_loc,Patch_2_loc,Patch_1_info,Patch_2_info,Patch_1_name,Patch_2_name,mask_name,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_mask_loop_1.thisRepN,prac_mask_loop_1.thisTrialN,prac_mask_loop_1.thisN,prac_mask_loop_1.thisIndex,prac_mask_loop_2.thisRepN,prac_mask_loop_2.thisTrialN,prac_mask_loop_2.thisN,prac_mask_loop_2.thisIndex,instruction_1_text.started,all_patches.started,space_press_continue.started,press_space_continue.started,space_press_continue.keys,space_press_continue.rt,patch_1_movie.started,space_press_continue_2.started,space_press_continue_2.keys,space_press_continue_2.rt,patch_2_movie.started,space_press_continue_3.started,space_press_continue_3.keys,space_press_continue_3.rt,instruction_text_4.started,response_screen_intr.started,space_press_continue_4.started,space_continue_low.started,space_press_continue_4.keys,space_press_continue_4.rt,instruction_text_5.started,response_screen_after.started,space_press_continue_5.started,space_continue_low_2.started,space_press_continue_5.keys,space_press_continue_5.rt,prac_begin_space.started,space_press_continue_6.started,space_press_continue_6.keys,space_press_continue_6.rt,practice_patch_1.started,practice_patch_1.stopped,practice_patch_2.started,practice_patch_2.stopped,mouse.started,text_23.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,similarity,response_time,Pass,text_55.started,text_56.started,text_55.stopped,text_56.stopped,mouse_11.started,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,space_press_continue_7.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_003.jpg,0,2,2,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.40574459999334,40.56136459996924,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_002.jpg,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_001.jpg,0,2,2,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_004.jpg,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_005.jpg,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_003.jpg,0,2,2,2,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35664850001922,41.51305710000452,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_004.jpg,0,2,2,2,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_002.jpg,0,2,2,2,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_001.jpg,0,2,2,2,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,masks/mask_005.jpg,0,2,2,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
3,0,131,5,5,2154,2142,prac_patch/patch0002154.jpg,prac_patch/patch0002142.jpg,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005744699970819056,41.81532110000262,0.11018518518518519,0.17314814814814813,1,0,0,response1disk,7,2.125597700010985,1,43.947467699996196,43.947467699996196,47.946521700010635,47.946521700010635,1.8900027498602867e-05,-0.005555555555555556,-0.002777777777777778,1,0,0,center_square_2,,137482,001,2022-11-07_11h00.24.929,Info_measure_main_exp,2022.2.2,142.60737620521945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.065828699967824,,,,,,,
